City,Delay Per Person,HiWay MPH,Arterial MPH,Small,Medium,Large,Very Large
"Albany-Schenectady-Troy, NY",10,58.7,32,0,1,0,0
"Albuquerque, NM",33,44.3,30.3,0,1,0,0
"Atlanta, GA",53,44.3,26.3,0,0,1,0
"Austin, TX",24,47.1,28.9,0,1,0,0
"Bakersfield, CA",6,57,33.4,1,0,0,0
"Baltimore, MD",31,47.3,29.1,0,0,1,0
"Beaumont, TX",9,58.3,32.8,1,0,0,0
"Boston, MA",42,43.1,26.2,0,0,0,1
"Boulder, CO",5,59.5,32.2,1,0,0,0
"Brownsville, TX",3,59.6,32.7,1,0,0,0
"Buffalo-Niagara Falls, NY",20,56.4,33.3,0,0,1,0
"Charlotte, NC",32,47.4,28.7,0,1,0,0
"Chicago, IL-Northwestern, IN",34,40.8,26.8,0,0,0,1
"Cincinnati, OH-KY",29,46.9,29.8,0,0,1,0
"Cleveland, OH",37,50.6,30.4,0,0,1,0
"Colorado Springs, CO",8,52.3,30.5,1,0,0,0
"Columbus, OH",29,49.8,28.7,0,0,1,0
"Corpus Christi, TX",10,57.7,33.8,1,0,0,0
"Dallas, TX",46,46.2,28.9,0,0,1,0
"Denver, CO",45,43.8,27,0,0,1,0
"Detroit, MI",41,43.8,28,0,0,0,1
"El Paso, TX-NM",14,51.6,32,0,1,0,0
"Eugene-Springfield, OR",7,57.2,30.7,1,0,0,0
"Fort Worth, TX",33,48.4,30.5,0,0,1,0
"Fresno, CA",18,54.1,29.3,0,1,0,0
"Ft. Lauderdale-Hollywood-Pompano Bch, FL",32,45.1,29.2,0,0,1,0
"Hartford-Middletown, CT",19,55,31.1,0,1,0,0
"Honolulu, HI",19,50.2,27.3,0,1,0,0
"Houston, TX",50,43.6,28.5,0,0,0,1
"Indianapolis, IN",20,47.6,28.5,0,0,1,0
"Jacksonville, FL",30,52.2,29.9,0,1,0,0
"Kansas City, MO-KS",24,54.8,31,0,0,1,0
"Laredo, TX",5,59.4,32.6,1,0,0,0
"Las Vegas, NV",42,43.7,26.6,0,0,1,0
"Los Angeles, CA",56,35.1,27.2,0,0,0,1
"Louisville, KY-IN",37,49,28.2,0,1,0,0
"Memphis, TN-AR-MS",22,51.7,30.5,0,1,0,0
"Miami-Hialeah, FL",44,43,27.7,0,0,1,0
"Milwaukee, WI",22,45.2,31.3,0,0,1,0
"Minneapolis-St. Paul, MN",38,45,28.5,0,0,1,0
"Nashville, TN",21,52.1,28.7,0,1,0,0
"New Orleans, LA",18,50.5,29.6,0,0,1,0
"New York, NY-Northeastern, NJ",34,45.6,26.1,0,0,0,1
"Norfolk, VA",14,50.3,30.6,0,0,1,0
"Oklahoma City, OK",17,53.5,32.1,0,0,1,0
"Omaha, NE-IA",19,56,30,0,1,0,0
"Orlando, FL",34,47.3,28.6,0,0,1,0
"Philadelphia, PA-NJ",26,49.7,28.2,0,0,0,1
"Phoenix, AZ",31,42.8,29.1,0,0,1,0
"Pittsburgh, PA",24,56.2,31.1,0,0,1,0
"Portland-Vancouver, OR-WA",34,42.3,28,0,0,1,0
"Providence-Pawtucket, RI-MA",28,51.2,30.1,0,1,0,0
"Rochester, NY",8,57,32.5,0,1,0,0
"Sacramento, CA",42,44.1,28.3,0,0,1,0
"Salem, OR",14,55.6,32.2,1,0,0,0
"Salt Lake City, UT",27,50.7,28.8,0,1,0,0
"San Antonio, TX",45,48.2,30.1,0,0,1,0
"San Bernardino-Riverside, CA",38,41.9,30.7,0,0,1,0
"San Diego, CA",37,41.2,28.6,0,0,1,0
"San Francisco-Oakland, CA",42,39.5,27.8,0,0,0,1
"San Jose, CA",42,44.6,28,0,0,1,0
"Seattle-Everett, WA",53,39.9,27.4,0,0,1,0
"Spokane, WA",10,56.2,32.9,1,0,0,0
"St. Louis, MO-IL",42,48.4,27.1,0,0,1,0
"Tacoma, WA",18,44.7,30.9,0,1,0,0
"Tampa, FL",35,50.3,28.5,0,1,0,0
"Tucson, AZ",23,51.1,28.6,0,1,0,0
"Washington, DC-MD-VA",46,41.3,25.8,0,0,0,1
