Sales,LogSales,Year,Q1,Q2,Q3,Q4
195.027,2.29009474,1995,1,0,0,0
161.864,2.209150269,1995.25,0,1,0,0
167.601,2.224276606,1995.5,0,0,1,0
171.442,2.234117224,1995.75,0,0,0,1
244.986,2.389141267,1996,1,0,0,0
203.912,2.309442784,1996.25,0,1,0,0
213.402,2.329198485,1996.5,0,0,1,0
229.798,2.361346245,1996.75,0,0,0,1
312.584,2.494966744,1997,1,0,0,0
259.8,2.414639147,1997.25,0,1,0,0
274.51,2.43855817,1997.5,0,0,1,0
270.452,2.432090197,1997.75,0,0,0,1
407.788,2.610434442,1998,1,0,0,0
324.811,2.511630729,1998.25,0,1,0,0
330.999,2.519826682,1998.5,0,0,1,0
326.17,2.513444014,1998.75,0,0,0,1
432.207,2.635691796,1999,1,0,0,0
341.395,2.533257156,1999.25,0,1,0,0
360.804,2.557271344,1999.5,0,0,1,0
358.113,2.554020087,1999.75,0,0,0,1
532.626,2.726422363,2000,1,0,0,0
425.113,2.628504386,2000.25,0,1,0,0
442.557,2.645969214,2000.5,0,0,1,0
438.334,2.641805159,2000.75,0,0,0,1
643.435,2.808504681,2001,1,0,0,0
516.66,2.71320484,2001.25,0,1,0,0
535.584,2.728827594,2001.5,0,0,1,0
576.552,2.760838483,2001.75,0,0,0,1
780.799,2.892539248,2002,1,0,0,0
622.789,2.794340933,2002.25,0,1,0,0
648.763,2.812086073,2002.5,0,0,1,0
638.124,2.804905079,2002.75,0,0,0,1
923.76,2.965559153,2003,1,0,0,0
725.139,2.860421263,2003.25,0,1,0,0
749.043,2.87450675,2003.5,0,0,1,0
750.651,2.875438067,2003.75,0,0,0,1
1118.148,3.048499291,2004,1,0,0,0
902.141,2.955274421,2004.25,0,1,0,0
917.355,2.962537432,2004.5,0,0,1,0
927.306,2.96722307,2004.75,0,0,0,1
1368.328,3.136190214,2005,1,0,0,0
1085.158,3.035492976,2005.25,0,1,0,0
1132.736,3.054128703,2005.5,0,0,1,0
1115.067,3.047300963,2005.75,0,0,0,1
1666.953,3.221923355,2006,1,0,0,0
1311.52,3.117774918,2006.25,0,1,0,0
1337.886,3.126419109,2006.5,0,0,1,0
1291.017,3.110931961,2006.75,0,0,0,1
1870.731,3.272011343,2007,1,0,0,0
1463.21,3.165306661,2007.25,0,1,0,0
1514.42,3.180246336,2007.5,0,0,1,0
1743.412,3.241400031,2007.75,0,0,0,1
2457.258,3.390450758,2008,1,0,0,0
1866.493,3.271026366,2008.25,0,1,0,0
1841.242,3.265110873,2008.5,0,0,1,0
1788.919,3.252590677,2008.75,0,0,0,1
2466.503,3.392081648,2009,1,0,0,0
1857.55,3.268940513,2009.25,0,1,0,0
1878.338,3.273773745,2009.5,0,0,1,0
1829.229,3.262268078,2009.75,0,0,0,1
2639.158,3.421465391,2010,1,0,0,0
2106.061,3.323470946,2010.25,0,1,0,0
2163.181,3.33509286,2010.5,0,0,1,0
2097.394,3.321680021,2010.75,0,0,0,1
3003.695,3.477655832,2011,1,0,0,0
2350.518,3.371163581,2011.25,0,1,0,0
2399.781,3.380171611,2011.5,0,0,1,0
2353.833,3.371775647,2011.75,0,0,0,1
3390.94,3.530320105,2012,1,0,0,0
2670.282,3.426557128,2012.25,0,1,0,0
2727.279,3.435729568,2012.5,0,0,1,0
2910.327,3.463941788,2012.75,0,0,0,1
3856,3.586137025,2013,1,0,0,0
3027,3.481012421,2013.25,0,1,0,0
